,zi,pianmu,nianji,ci,jisici,jisici_zuci,spare 1,spare 2,spare 3,spare 4,spare 5,spare 6,spare 7,spare 8,spare 9,spare 10,spare 11,spare 12,spare 13,spare 14,spare 15,spare 16,spare 17,spare 18,spare 19,spare 20
1,晨,1,3,"""早晨"", ""清晨"", ""晨昏"", ""晨钟暮鼓""",辰，震,"""星辰"", ""地震""",,,,,,,,,,,,,,,,,,,,
2,绒,1,3,"""绒球花"", ""绒毛"", ""羽绒"", ""丝绒""",贼,"""盗贼"", ""戎装""",,,,,,,,,,,,,,,,,,,,
3,球,1,3,"""绒球花"", ""球体"", ""篮球场"", ""足球""",求，环,"""追求"", ""环绕""",,,,,,,,,,,,,,,,,,,,
4,汉,1,3,"""汉族"", ""西汉"", ""汉子"", ""英雄好汉""",叹，权,"""感叹"", ""权力""",,,,,,,,,,,,,,,,,,,,
5,艳,1,3,"""鲜艳"", ""艳丽"", ""娇艳"", ""争奇斗艳""",绝,"""绝迹"", ""绝望""",,,,,,,,,,,,,,,,,,,,
6,服,1,3,"""服装"", ""衣服"", ""服从"", ""水土不服""",报，肌,"""报纸"", ""肌肉""",,,,,,,,,,,,,,,,,,,,
7,装,1,3,"""服装"", ""时装"", ""军装"", ""装扮"", ""化装""",袋，袭,"""袋子"", ""袭击""",,,,,,,,,,,,,,,,,,,,
8,扮,1,3,"""打扮"", ""扮演"", ""装扮"", ""女扮男装""",份，汾,"""一份"", ""汾河""",,,,,,,,,,,,,,,,,,,,
9,静,1,3,"""安静"", ""宁静"", ""静止"", ""风平浪静""",净，睁,"""干净"", ""睁睁眼""",,,,,,,,,,,,,,,,,,,,
10,停,1,3,"""停止"", ""停泊"", ""马不停蹄"", ""停留""",亭,"""亭子"", ""亭亭玉立""",,,,,,,,,,,,,,,,,,,,
11,孔,1,3,"""孔雀"", ""鼻孔"", ""针孔"", ""无孔不入""",孙，扎,"""子孙"", ""扎根""",,,,,,,,,,,,,,,,,,,,
12,雀,1,3,"""孔雀"", ""麻雀"", ""山雀"", ""鸦雀无声""",省，崔,"""节省"", ""姓崔""",,,,,,,,,,,,,,,,,,,,
13,粗,1,3,"""粗壮"", ""粗心"", ""粗声粗气"", ""粗暴""",祖，沮,"""祖国"", ""沮丧""",,,,,,,,,,,,,,,,,,,,
14,落,2,3,"""落下"", ""落叶"", ""落后"", ""落选"", ""村落""",洛，络,"""洛阳"", ""联络""",,,,,,,,,,,,,,,,,,,,
15,荒,2,3,"""荒野"", ""荒芜"", ""荒地"", ""饥荒"", ""荒年""",慌，谎,"""慌张"", ""说谎""",,,,,,,,,,,,,,,,,,,,
16,笛,2,3,"""笛笛"", ""笛子"", ""长笛"", ""警笛"", ""汽笛""",迪，油,"""启迪"", ""汽油""",,,,,,,,,,,,,,,,,,,,
17,舞,2,3,"""跳舞"", ""舞会"", ""舞蹈"", ""舞文弄墨""",舜,"""舜帝""",,,,,,,,,,,,,,,,,,,,
18,狂,2,3,"""狂欢"", ""狂喜"", ""狂澜"", ""狂风暴雨""",旺，汪,"""旺盛"", ""汪洋""",,,,,,,,,,,,,,,,,,,,
19,罚,2,3,"""惩罚"", ""责罚"", ""处罚"", ""赏罚分明""",罪,"""罪恶"", ""弥天大罪""",,,,,,,,,,,,,,,,,,,,
20,假,2,3,"""放假"", ""假期"", ""寒假"", ""请假"", ""度假""",暇，瑕,"""闲暇"", ""瑕疵""",,,,,,,,,,,,,,,,,,,,
21,互,2,3,"""互相"", ""互助"", ""互动"", ""互不相容""",瓦,"""瓦片""",,,,,,,,,,,,,,,,,,,,
22,所,2,3,"""各尽所能"", ""住所"", ""各得其所""",欣，听,"""欣赏"", ""听见""",,,,,,,,,,,,,,,,,,,,
23,够,2,3,"""能够"", ""足够"", ""够数"", ""够用""",移，侈,"""移动"", ""奢侈""",,,,,,,,,,,,,,,,,,,,
24,猜,2,3,"""猜出"", ""猜想"", ""猜谜"", ""猜疑""",情，晴,"""热情"", ""晴天""",,,,,,,,,,,,,,,,,,,,
25,扬,2,3,"""扬起"", ""趾高气扬"", ""飘扬"", ""飞扬""",杨，汤,"""杨树"", ""汤汁""",,,,,,,,,,,,,,,,,,,,
26,臂,2,3,"""双臂"", ""手臂"", ""左膀右臂"", ""振臂高呼""",壁，璧,"""壁画"", ""和氏璧""",,,,,,,,,,,,,,,,,,,,
27,寒,4,3,"""寒冷"", ""严寒"", ""贫寒"", ""寒门学子""",,"""比赛"", ""边塞""",,,,,,,,,,,,,,,,,,,,
28,径,4,3,"""小径"", ""曲径通幽"", ""直径"", ""半径""",,"""经常"", ""轻松""",,,,,,,,,,,,,,,,,,,,
29,斜,4,3,"""斜坡"", ""斜阳"", ""斜视"", ""目不斜视""",,"""叙述"", ""材料""",,,,,,,,,,,,,,,,,,,,
30,霜,4,3,"""白霜"", ""霜冻"", ""下霜"", ""冷若冰霜""",,"""大雾"", ""箱子""",,,,,,,,,,,,,,,,,,,,
31,,4,3,"""赠品"", ""捐赠"", ""赠送"", ""赠礼"", ""馈赠""",,"""增加"", ""憎恨""",,,,,,,,,,,,,,,,,,,,
32,,4,3,"""刘阿姨"", ""刘老师"", ""姓刘""",,"""列车"", ""文化""",,,,,,,,,,,,,,,,,,,,
33,,4,3,"""华盖"", ""遮盖"", ""锅盖"", ""铺天盖地""",,"""有益"", ""盗窃""",,,,,,,,,,,,,,,,,,,,
34,,4,3,"""菊花"", ""秋菊"", ""墨菊"", ""菊花茶""",,"""葡萄"", ""苟且""",,,,,,,,,,,,,,,,,,,,
35,,4,3,"""残阳"", ""残菊"", ""残缺不全"", ""残忍""",,"""卑贱"", ""浅滩""",,,,,,,,,,,,,,,,,,,,
36,,4,3,"""君子"", ""君王"", ""国君"", ""君临天下""",,"""伊人"", ""竹笋""",,,,,,,,,,,,,,,,,,,,
37,,4,3,"""橙子"", ""橙汁"", ""橙色"", ""橙红"", ""橙黄""",,"""澄澈"", ""瞪眼""",,,,,,,,,,,,,,,,,,,,
38,,4,3,"""欢送会"", ""送信"", ""送回"", ""雪中送炭""",,"""运输"", ""运送""",,,,,,,,,,,,,,,,,,,,
39,,4,3,"""挑动"", ""挑拨离间"", ""挑灯夜战""",,"""桃树"", ""眺望""",,,,,,,,,,,,,,,,,,,,
40,,5,3,"""铺满"", ""铺床"", ""铺展"", ""铺天盖地""",,"""辅导"", ""捕捉""",,,,,,,,,,,,,,,,,,,,
41,,5,3,"""水泥"", ""泥土"", ""泥巴"", ""印泥"", ""枣泥""",,"""妮子"", ""呢喃""",,,,,,,,,,,,,,,,,,,,
42,,5,3,"""亮晶晶"", ""晶莹"", ""水晶"", ""晶莹剔透""",,"""品味"", ""歌唱""",,,,,,,,,,,,,,,,,,,,
43,,5,3,"""院墙"", ""院子"", ""深宅大院"", ""医院""",,"""完成"", ""浣纱""",,,,,,,,,,,,,,,,,,,,
44,,5,3,"""院墙"", ""墙头"", ""城墙"", ""狗急跳墙""",,"""增加"", ""桅樯""",,,,,,,,,,,,,,,,,,,,
45,,5,3,"""翻印"", ""排印"", ""印刷"", ""脚印"", ""烙印""",,"""卯时"", ""即使""",,,,,,,,,,,,,,,,,,,,
46,,5,3,"""排列"", ""排队"", ""一排"", ""并排"", ""前排""",,"""是非"", ""徘徊""",,,,,,,,,,,,,,,,,,,,
47,,5,3,"""排列"", ""列举"", ""陈列"", ""队列"", ""出列""",,"""烈士"", ""到处""",,,,,,,,,,,,,,,,,,,,
48,,5,3,"""规律"", ""规劝"", ""规划"", ""圆规""",,"""呈现"", ""观赏""",,,,,,,,,,,,,,,,,,,,
49,,5,3,"""规则"", ""原则"", ""准则"", ""以身作则""",,"""失败"", ""侧面""",,,,,,,,,,,,,,,,,,,,
50,,5,3,"""凌乱"", ""叛乱"", ""战乱"", ""以假乱真""",,"""刮风"", ""刮胡子""",,,,,,,,,,,,,,,,,,,,
51,,5,3,"""棕红色"", ""棕熊"", ""棕榈"", ""棕毛""",,"""踪迹"", ""综合""",,,,,,,,,,,,,,,,,,,,
52,,5,3,"""迟到"", ""迟缓"", ""迟钝"", ""事不宜迟""",,"""尺度"", ""返回""",,,,,,,,,,,,,,,,,,,,
53,,6,3,"""一盒"", ""机顶盒"", ""文具盒"", ""饭盒""",,"""盆景"", ""酒盅""",,,,,,,,,,,,,,,,,,,,
54,,6,3,"""颜色"", ""五颜六色"", ""笑逐颜开""",,"""谚语"", ""必须""",,,,,,,,,,,,,,,,,,,,
55,,6,3,"""颜料"", ""木料"", ""预料"", ""料事如神""",,"""科学"", ""米粉""",,,,,,,,,,,,,,,,,,,,
56,,6,3,"""邮票"", ""选票"", ""售票员"", ""钞票""",,"""漂亮"", ""飘扬""",,,,,,,,,,,,,,,,,,,,
57,,6,3,"""争抢"", ""战争"", ""争取"", ""争论"", ""争吵""",,"""挣扎"", ""着急""",,,,,,,,,,,,,,,,,,,,
58,,6,3,"""仙子"", ""仙女"", ""仙界"", ""八仙过海""",,"""灿烂"", ""汕头""",,,,,,,,,,,,,,,,,,,,
59,,6,3,"""好闻"", ""耳闻目睹"", ""丑闻"", ""新闻""",,"""时间"", ""问题""",,,,,,,,,,,,,,,,,,,,
60,,6,3,"""勾住"", ""勾引"", ""勾起"", ""勾描"", ""勾画""",,"""句子"", ""鱼钩""",,,,,,,,,,,,,,,,,,,,
61,,6,3,"""加紧"", ""紧密"", ""紧迫"", ""松紧"", ""捆紧""",,"""紫红"", ""柳絮""",,,,,,,,,,,,,,,,,,,,
62,,6,3,"""挖洞"", ""山洞"", ""洞穴"", ""洞若观火""",,"""油桐"", ""恫吓""",,,,,,,,,,,,,,,,,,,,
63,,6,3,"""油亮亮"", ""猪油"", ""油腔滑调""",,"""抽取"", ""邮票""",,,,,,,,,,,,,,,,,,,,
64,,6,3,"""一曲"", ""曲子"", ""歌曲"", ""异曲同工""",,"""字典"", ""由于""",,,,,,,,,,,,,,,,,,,,
65,,6,3,"""丰收"", ""丰年"", ""丰碑"", ""丰功伟绩""",,"""半天"", ""山羊""",,,,,,,,,,,,,,,,,,,,
66,,8,3,"""火柴"", ""木柴"", ""柴火"", ""骨瘦如柴""",,"""紫色"", ""毕业""",,,,,,,,,,,,,,,,,,,,
67,,8,3,"""破旧"", ""依旧"", ""陈旧"", ""重修旧好""",,"""害怕"", ""日期""",,,,,,,,,,,,,,,,,,,,
68,,8,3,"""围裙"", ""裙子"", ""衬裙"", ""连衣裙""",,"""群众"", ""郡县""",,,,,,,,,,,,,,,,,,,,
69,,8,3,"""可怜"", ""怜悯"", ""怜惜"", ""怜香惜玉""",,"""寒冷"", ""铃声""",,,,,,,,,,,,,,,,,,,,
70,,8,3,"""又冷又饿"", ""饥饿"", ""忍饥挨饿""",,"""蚕蛾"", ""巍峨""",,,,,,,,,,,,,,,,,,,,
71,,8,3,"""火焰"", ""气焰"", ""烈焰"", ""气焰嚣张""",,"""陷阱"", ""谄媚""",,,,,,,,,,,,,,,,,,,,
72,,8,3,"""蜡烛"", ""蜂蜡"", ""石蜡"", ""白蜡""",,"""珍惜"", ""腊月""",,,,,,,,,,,,,,,,,,,,
73,,8,3,"""蜡烛"", ""烛光"", ""烛台"", ""火光烛天""",,"""侵蚀"", ""炉子""",,,,,,,,,,,,,,,,,,,,
74,,8,3,"""伸出"", ""伸展"", ""伸手"", ""能屈能伸""",,"""神仙"", ""绅士""",,,,,,,,,,,,,,,,,,,,
75,,8,3,"""忽然"", ""忽高忽低"", ""忽视"", ""忽略""",,"""葱茏"", ""忍心""",,,,,,,,,,,,,,,,,,,,
76,,8,3,"""地板"", ""黑板"", ""铁板"", ""有板有眼""",,"""吃饭"", ""出版""",,,,,,,,,,,,,,,,,,,,
77,,8,3,"""富商"", ""丰富"", ""富饶"", ""富可敌国""",,"""福气"", ""副手""",,,,,,,,,,,,,,,,,,,,
78,,8,3,"""一颗"", ""一颗黄豆"", ""颗粒无收""",,"""一棵树"", ""上课""",,,,,,,,,,,,,,,,,,,,
79,,10,3,"""旅行"", ""旅馆"", ""旅途"", ""军旅生活""",,"""放开"", ""民族""",,,,,,,,,,,,,,,,,,,,
80,,10,3,"""咱们"", ""咱俩"", ""咱不懂""",,"""咀嚼"", ""泪水""",,,,,,,,,,,,,,,,,,,,
81,,10,3,"""偷枣"", ""小偷"", ""偷听"", ""偷拍"", ""偷生""",,"""榆树"", ""愉快""",,,,,,,,,,,,,,,,,,,,
82,,10,3,"""救命"", ""搭救"", ""救火"", ""救死扶伤""",,"""圆球"", ""请求""",,,,,,,,,,,,,,,,,,,,
83,,10,3,"""救命"", ""生命"", ""人命关天"", ""任命""",,"""雨伞"", ""不舍""",,,,,,,,,,,,,,,,,,,,
